,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2688,西武池袋線 椎名町駅 4階建 築33年,賃貸マンション,東京都豊島区南長崎１,西武池袋線/椎名町駅 歩1分,都営大江戸線/落合南長崎駅 歩13分,東京メトロ有楽町線/要町駅 歩15分,築33年,4階建,4階,7.5万円,-,7.5万円/-/-/-,1DK,30.3m
2689,西武池袋線 椎名町駅 4階建 築33年,賃貸マンション,東京都豊島区南長崎１,西武池袋線/椎名町駅 歩1分,都営大江戸線/落合南長崎駅 歩13分,東京メトロ有楽町線/要町駅 歩15分,築33年,4階建,4階,8万円,-,8万円/-/-/-,1DK,30.03m
2690,コーポ武津岡,賃貸マンション,東京都豊島区長崎３,西武池袋線/椎名町駅 歩8分,西武池袋線/東長崎駅 歩10分,東京メトロ有楽町線/要町駅 歩14分,築36年,3階建,1階,7万円,5000円,-/-/-/-,2DK,30m
2691,ハイツ西沢,賃貸マンション,東京都豊島区巣鴨５,都営三田線/西巣鴨駅 歩8分,ＪＲ山手線/巣鴨駅 歩12分,都営三田線/巣鴨駅 歩11分,築34年,3階建,2階,7.2万円,3000円,7.2万円/7.2万円/-/-,1DK,30m
2692,西武池袋線 椎名町駅 3階建 築36年,賃貸マンション,東京都豊島区長崎３,西武池袋線/椎名町駅 歩8分,西武池袋線/東長崎駅 歩10分,東京メトロ有楽町線/要町駅 歩14分,築36年,3階建,1階,7万円,5000円,-/-/-/-,2DK,30m
2693,田村コーポ,賃貸マンション,東京都豊島区駒込６,ＪＲ山手線/駒込駅 歩9分,ＪＲ山手線/巣鴨駅 歩8分,東京メトロ南北線/西ヶ原駅 歩12分,築33年,4階建,2階,7.5万円,-,7.5万円/7.5万円/-/-,2K,30m
2694,東京メトロ有楽町線 千川駅 2階建 築58年,賃貸アパート,東京都豊島区千早２,東京メトロ有楽町線/千川駅 歩7分,東京メトロ副都心線/要町駅 歩8分,西武池袋線/椎名町駅 歩11分,築58年,2階建,2階,7.5万円,-,7.5万円/-/-/-,1DK,29.75m
2695,カルドアンビエンテ,賃貸マンション,東京都豊島区池袋本町２,ＪＲ山手線/池袋駅 歩14分,東京メトロ有楽町線/要町駅 歩17分,東武東上線/北池袋駅 歩11分,築30年,地下1地上10階建,4階,7.5万円,-,-/-/-/-,1K,29.75m
2696,パークサイド千早,賃貸アパート,東京都豊島区千早２,東京メトロ副都心線/千川駅 歩7分,東京メトロ有楽町線/要町駅 歩10分,西武池袋線/椎名町駅 歩10分,築54年,2階建,2階,7.5万円,-,7.5万円/-/-/-,1DK,29.75m
2697,三輪マンション,賃貸マンション,東京都豊島区西池袋３,ＪＲ山手線/池袋駅 歩6分,東京メトロ有楽町線/池袋駅 歩6分,東武東上線/池袋駅 歩6分,築48年,4階建,3階,7.3万円,2000円,7.3万円/-/-/-,ワンルーム,29.37m
2698,まいホーム,賃貸アパート,東京都豊島区駒込３,ＪＲ山手線/駒込駅 歩3分,ＪＲ山手線/巣鴨駅 歩11分,東京メトロ南北線/西ヶ原駅 歩15分,築36年,2階建,1階,7.5万円,-,7.5万円/7.5万円/-/-,2K,28.91m
2699,NORTH.IKEBUKURO1st,賃貸マンション,東京都豊島区池袋本町３,東武東上線/下板橋駅 歩8分,東武東上線/北池袋駅 歩9分,ＪＲ山手線/池袋駅 歩18分,築16年,3階建,1階,7.2万円,3000円,-/-/-/-,1K,28.76m
2700,ＫＮハウス,賃貸アパート,東京都豊島区長崎２,西武池袋線/椎名町駅 歩8分,東京メトロ有楽町線/要町駅 歩12分,都営大江戸線/落合南長崎駅 歩16分,築32年,2階建,2階,7.5万円,-,7.5万円/-/-/-,1DK,28m
2701,サン．ガーデン,賃貸マンション,東京都豊島区北大塚３,ＪＲ山手線/大塚駅 歩5分,東京メトロ丸ノ内線/新大塚駅 歩13分,東武東上線/北池袋駅 歩16分,築15年,3階建,2階,7.2万円,3000円,7.2万円/7.2万円/-/-,1K,22.83m
2702,サン．ガーデン,賃貸マンション,東京都豊島区北大塚３,ＪＲ山手線/大塚駅 歩5分,東京メトロ丸ノ内線/新大塚駅 歩13分,東武東上線/北池袋駅 歩16分,築15年,3階建,3階,7.9万円,3000円,7.9万円/7.9万円/-/-,1K,27.55m
2703,ＪＲ山手線 大塚駅 3階建 築15年,賃貸マンション,東京都豊島区北大塚３,ＪＲ山手線/大塚駅 歩5分,東京メトロ丸ノ内線/新大塚駅 歩13分,東武東上線/北池袋駅 歩16分,築15年,3階建,2階,7.2万円,3000円,7.2万円/7.2万円/-/-,1K,22.83m
2704,ＪＲ山手線 大塚駅 3階建 築15年,賃貸マンション,東京都豊島区北大塚３,ＪＲ山手線/大塚駅 歩5分,東京メトロ丸ノ内線/新大塚駅 歩13分,東武東上線/北池袋駅 歩16分,築15年,3階建,3階,7.9万円,3000円,7.9万円/7.9万円/-/-,1K,27.55m
2705,サンバースト本島,賃貸マンション,東京都豊島区池袋本町２,東武東上線/下板橋駅 歩7分,ＪＲ山手線/池袋駅 歩20分,ＪＲ埼京線/板橋駅 歩13分,築27年,5階建,4階,7.5万円,-,-/-/-/-,1K,16.72m
2706,サンバースト本島,賃貸マンション,東京都豊島区池袋本町２,東武東上線/下板橋駅 歩7分,ＪＲ山手線/池袋駅 歩20分,ＪＲ埼京線/板橋駅 歩13分,築27年,5階建,3階,8.1万円,-,-/-/-/-,1K,27.44m
2707,東建シティハイツ池袋,賃貸マンション,東京都豊島区池袋２,ＪＲ山手線/池袋駅 歩5分,東京メトロ有楽町線/要町駅 歩15分,東武東上線/北池袋駅 歩15分,築32年,地下1地上9階建,8階,7.5万円,-,7.5万円/7.5万円/-/-,ワンルーム,27.43m
2708,東建シティハイツ池袋,賃貸マンション,東京都豊島区池袋２,ＪＲ山手線/池袋駅 歩5分,東京メトロ有楽町線/要町駅 歩15分,東武東上線/北池袋駅 歩15分,築32年,地下1地上9階建,3階,7.6万円,4000円,-/7.6万円/-/-,ワンルーム,21.01m
2709,イーグル巣鴨,賃貸マンション,東京都豊島区巣鴨３,ＪＲ山手線/巣鴨駅 歩5分,都営三田線/巣鴨駅 歩3分,ＪＲ山手線/大塚駅 歩10分,築29年,地下1地上13階建,7階,7.5万円,-,7.5万円/7.5万円/-/-,1DK,27.34m
2710,イーグル巣鴨,賃貸マンション,東京都豊島区巣鴨３,ＪＲ山手線/巣鴨駅 歩5分,都営三田線/巣鴨駅 歩3分,ＪＲ山手線/大塚駅 歩10分,築29年,地下1地上13階建,12階,6.8万円,10000円,6.8万円/-/-/-,ワンルーム,23.69m
